iter	Logloss
0	0.6654364655
1	0.6406231711
2	0.6211846583
3	0.6037903205
4	0.5899234588
5	0.5793847291
6	0.5676754673
7	0.5591546526
8	0.55198782
9	0.5448887674
10	0.5392639698
11	0.5341427265
12	0.5301325073
13	0.5251735891
14	0.5215119218
15	0.5180281518
16	0.5158289226
17	0.5138265935
18	0.5118647615
19	0.5092543856
20	0.5071737969
21	0.5055498443
22	0.5039920155
23	0.5019281592
24	0.5006747081
25	0.4994790632
26	0.4982875987
27	0.4972452306
28	0.496342104
29	0.4953185484
30	0.4943530888
31	0.4932184034
32	0.4925636964
33	0.4916056159
34	0.4912483359
35	0.4906739191
36	0.4900704147
37	0.4896923613
38	0.4893391748
39	0.4887080683
40	0.4882393641
41	0.4880144784
42	0.4876575651
43	0.4873130729
44	0.4869487499
45	0.4863432814
46	0.485738225
47	0.4852669753
48	0.4847589237
49	0.4841152993
50	0.4839507301
51	0.4837859193
52	0.4836224892
53	0.4834187414
54	0.4832969847
55	0.483089973
56	0.4828954034
57	0.4826530196
58	0.4823633693
59	0.4820601911
60	0.4818591557
61	0.4817128781
62	0.4814014117
63	0.4811324055
64	0.4810148793
65	0.480893778
66	0.4808389911
67	0.4804328151
68	0.480179432
69	0.4799492204
70	0.4797966281
71	0.4797136261
72	0.4796341073
73	0.4793242008
74	0.4792967433
75	0.4791442258
76	0.4789442102
77	0.4787544814
78	0.4787278001
79	0.4783957517
80	0.4780712166
81	0.4779000594
82	0.4777042273
83	0.4776151853
84	0.4776044139
85	0.477448683
86	0.4773655795
87	0.4771510823
88	0.4768996851
89	0.4767196542
90	0.4767196514
91	0.4765508893
92	0.4764124814
93	0.4763963551
94	0.4763833108
95	0.4763142354
96	0.4761766113
97	0.4761006397
98	0.4760765781
99	0.4760383311
100	0.4760383305
101	0.475844406
102	0.4758233516
103	0.475816605
104	0.4756085882
105	0.4753148172
106	0.4750377643
107	0.47484948
108	0.4747330442
109	0.4744998588
110	0.4744947355
111	0.4744174618
112	0.4744052874
113	0.4742809637
114	0.474186241
115	0.4740939117
116	0.4739231239
117	0.4738569937
118	0.4737737089
119	0.473772001
120	0.4737390389
121	0.4736423729
122	0.4734505833
123	0.4733010567
124	0.4732962952
125	0.4731605659
126	0.4731286175
127	0.4731255325
128	0.4728635961
129	0.4727104647
130	0.4725552991
131	0.4724872729
132	0.4723749883
133	0.4723586424
134	0.4722131562
135	0.4721617953
136	0.472032757
137	0.471869973
138	0.4717213479
139	0.471592828
140	0.471540565
141	0.4714283062
142	0.4714212084
143	0.4713641748
144	0.4712813446
145	0.4711255417
146	0.4711161944
147	0.4709904195
148	0.4709835648
149	0.470965142
150	0.4708232397
151	0.4707139215
152	0.4707075674
153	0.4707031237
154	0.4706131233
155	0.4705143051
156	0.4705036069
157	0.4703148834
158	0.4702103363
159	0.4702089483
160	0.4701670531
161	0.4701635909
162	0.4701351866
163	0.4700660774
164	0.4700451921
165	0.4700435441
166	0.4699540543
167	0.4699456851
168	0.4698900974
169	0.4698857175
170	0.4698004724
171	0.4697847373
172	0.4697674841
173	0.4697665373
174	0.4696722555
175	0.4695109346
176	0.4694506453
177	0.4694275843
178	0.4693501081
179	0.4693066875
180	0.4692693794
181	0.469233618
182	0.4692237366
183	0.4691258105
184	0.4691242797
185	0.4690860019
186	0.4690853395
187	0.4690512758
188	0.4689592518
189	0.4688385012
190	0.4688218929
191	0.4687657995
192	0.4686896832
193	0.4685809914
194	0.468466512
195	0.4684659795
196	0.4683870233
197	0.4683823857
198	0.4683773715
199	0.4683726009
200	0.4683314589
201	0.4682380348
202	0.4682009364
203	0.4681810364
204	0.4681656448
205	0.4681653232
206	0.4681587862
207	0.4680639877
208	0.4680504847
209	0.4680492409
210	0.4679337332
211	0.4679313568
212	0.4679075057
213	0.467809688
214	0.4677699248
215	0.4676408391
216	0.4675605035
217	0.4674584981
218	0.4673967241
219	0.4673946213
220	0.4672798053
221	0.467273858
222	0.4672067773
223	0.4671403338
224	0.4671398526
225	0.4670541404
226	0.4669771847
227	0.4669759402
228	0.4669151627
229	0.4669120638
230	0.4669117999
231	0.4668812975
232	0.4668779855
233	0.4667876428
234	0.4667704085
235	0.4667470815
236	0.4667402527
237	0.4667006181
238	0.4666556399
239	0.4666520979
240	0.4666187447
241	0.4664882605
242	0.4664223807
243	0.4664213487
244	0.4664202636
245	0.4664192932
246	0.4664163127
247	0.4663225039
248	0.466125806
249	0.4661126478
