iter	Passed	Remaining
0	84	21107
1	116	14476
2	148	12229
3	181	11143
4	212	10406
5	242	9856
6	272	9474
7	302	9158
8	330	8841
9	360	8662
10	392	8533
11	422	8387
12	453	8266
13	484	8165
14	513	8051
15	544	7965
16	572	7841
17	599	7732
18	626	7617
19	655	7536
20	685	7479
21	714	7405
22	745	7359
23	775	7302
24	806	7254
25	835	7202
26	865	7148
27	894	7090
28	924	7041
29	954	7002
30	984	6953
31	1012	6900
32	1042	6857
33	1071	6808
34	1099	6755
35	1131	6724
36	1161	6685
37	1190	6641
38	1222	6614
39	1251	6568
40	1282	6535
41	1311	6495
42	1340	6454
43	1372	6424
44	1400	6380
45	1429	6340
46	1458	6298
47	1489	6267
48	1519	6234
49	1549	6199
50	1581	6170
51	1604	6111
52	1635	6080
53	1670	6064
54	1699	6025
55	1728	5989
56	1760	5962
57	1788	5921
58	1816	5881
59	1845	5844
60	1875	5810
61	1904	5775
62	1937	5751
63	1967	5718
64	1999	5689
65	2035	5675
66	2067	5648
67	2096	5612
68	2122	5568
69	2152	5534
70	2182	5501
71	2214	5474
72	2243	5440
73	2274	5410
74	2292	5349
75	2320	5311
76	2351	5284
77	2378	5245
78	2407	5211
79	2435	5175
80	2462	5137
81	2492	5106
82	2522	5074
83	2553	5045
84	2581	5011
85	2611	4979
86	2640	4947
87	2671	4918
88	2699	4883
89	2728	4850
90	2749	4804
91	2776	4767
92	2807	4739
93	2830	4697
94	2849	4649
95	2878	4617
96	2906	4584
97	2937	4556
98	2963	4519
99	2987	4480
100	3002	4429
101	3031	4399
102	3058	4365
103	3078	4321
104	3106	4289
105	3133	4256
106	3161	4224
107	3189	4194
108	3221	4166
109	3254	4142
110	3274	4099
111	3304	4071
112	3339	4048
113	3372	4022
114	3401	3992
115	3432	3965
116	3460	3933
117	3489	3903
118	3516	3871
119	3535	3830
120	3562	3798
121	3592	3769
122	3620	3738
123	3652	3711
124	3677	3677
125	3705	3646
126	3729	3612
127	3751	3576
128	3783	3548
129	3811	3518
130	3842	3490
131	3871	3461
132	3900	3431
133	3929	3401
134	3964	3377
135	3992	3346
136	4020	3316
137	4050	3287
138	4078	3256
139	4106	3226
140	4136	3197
141	4166	3168
142	4194	3138
143	4224	3109
144	4253	3079
145	4284	3051
146	4312	3021
147	4342	2993
148	4370	2962
149	4402	2935
150	4437	2909
151	4467	2880
152	4495	2850
153	4522	2819
154	4551	2789
155	4581	2760
156	4609	2730
157	4638	2700
158	4666	2670
159	4691	2638
160	4718	2608
161	4744	2577
162	4774	2548
163	4804	2519
164	4833	2490
165	4857	2457
166	4886	2428
167	4913	2398
168	4941	2368
169	4968	2338
170	4998	2309
171	5025	2279
172	5053	2249
173	5075	2217
174	5103	2187
175	5131	2157
176	5159	2128
177	5190	2099
178	5220	2070
179	5254	2043
180	5284	2014
181	5318	1987
182	5348	1958
183	5381	1930
184	5407	1900
185	5438	1871
186	5460	1839
187	5491	1810
188	5521	1781
189	5551	1753
190	5580	1723
191	5611	1695
192	5639	1665
193	5670	1636
194	5699	1607
195	5726	1577
196	5756	1548
197	5785	1519
198	5814	1490
199	5846	1461
200	5878	1433
201	5908	1403
202	5942	1375
203	5972	1346
204	6001	1317
205	6030	1288
206	6059	1258
207	6086	1229
208	6115	1199
209	6142	1170
210	6172	1140
211	6196	1110
212	6228	1081
213	6257	1052
214	6287	1023
215	6316	994
216	6348	965
217	6380	936
218	6408	907
219	6436	877
220	6465	848
221	6492	818
222	6535	791
223	6565	762
224	6588	732
225	6616	702
226	6646	673
227	6674	644
228	6703	614
229	6730	585
230	6754	555
231	6783	526
232	6812	497
233	6844	467
234	6872	438
235	6900	409
236	6931	380
237	6960	350
238	6990	321
239	7015	292
240	7046	263
241	7080	234
242	7109	204
243	7139	175
244	7168	146
245	7200	117
246	7229	87
247	7261	58
248	7290	29
249	7320	0
